url,source,date_seen
https://simonwillison.net/2026/Apr/25/why-are-you-like-this/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/25/romain-huet/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/25/gpt-5-5-prompting-guide/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/llm/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/the-people-do-not-yearn-for-automation/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/deepseek-v4/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/milliseconds/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/weekly/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/honker/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/recent-claude-code-quality-reports/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/24/serving-the-for-you-feed/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/23/liteparse-for-the-web/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/23/gpt-5-5/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/23/llm-openai-via-codex/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/23/maggie-appleton/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/22/qwen36-27b/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/22/bobby-holley/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/22/changes-to-github-copilot/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/22/claude-code-confusion/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/21/gpt-image-2/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/21/andreas-pahlsson-notini/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/21/scosman/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/20/llm-openrouter/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/20/datasette-sql/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/20/claude-token-counts/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/Apr/19/headless-everything/#atom-everything,Simon Willison's Weblog,2026-04-26
https://simonwillison.net/2026/May/2/sightings/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/May/1/inat-sightings/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/30/codex-goals/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/30/gpt-55-cyber-capabilities/#atom-everything,Simon Willison's Weblog,2026-05-03
